      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0  573  9.00    4    0.04   0.00    0    0.00   4  0 54 32  0 10
      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0    0  6.67    9    0.06   0.00    0    0.00   8  0 53 29  0 10
   0  536  8.93   14    0.12   0.00    0    0.00   1  0 54 36  0  9
   0 1249  7.60    5    0.04   0.00    0    0.00   1  0 52 33  0 14
   0    0 11.50    4    0.05   0.00    0    0.00   0  0 60 34  0  6
   0  574  7.25    8    0.06   0.00    0    0.00   1  0 50 33  0 16
   0  573 10.78   18    0.19   0.00    0    0.00   3  0 54 33  0 10
   0    0  8.44    9    0.07   0.00    0    0.00   1  0 57 33  0  9
   0  574  8.29    7    0.06   0.00    0    0.00   2  0 55 36  0  7
   0  572  9.00    2    0.02   0.00    0    0.00   1  0 54 37  0  8
   0  575  6.29    7    0.04   0.00    0    0.00   2  0 41 38  0 19
   0    0  7.69   13    0.10   0.00    0    0.00   1  0 53 36  0 10
   0  571 10.67    6    0.06   0.00    0    0.00   2  0 54 37  0  7
   0  572  6.67    9    0.06   0.00    0    0.00   1  0 53 34  0 12
   0  576  8.00    4    0.03   0.00    0    0.00   1  0 52 37  0 10
   0  570  6.00    5    0.03   0.00    0    0.00   5  0 41 32  0 23
   0    0  8.00   11    0.09   0.00    0    0.00   2  0 54 33  0 11
   0  580 11.08   24    0.26   0.00    0    0.00   2  0 53 42  0  3
   0  567  8.00    6    0.05   0.00    0    0.00   1  0 54 31  0 14
   0 1156  6.33    6    0.04   0.00    0    0.00   1  0 57 33  0  9
   0    0  9.14    7    0.06   0.00    0    0.00   3  0 48 26  0 23
